name,address,phone,working_hours,image_url,profile_url
"Elyssa Cosmetiques - Marrakech, Maroc","Elyssa Cosmetiques - Marrakech, Maroc - Téléphone et",766988333,Lundi:10:00 am - 10:00 pmMardi:10:00 am - 10:00 pmMercredi:10:00 am - 10:00 pmJeudi:10:00 am - 10:00 pmVendredi:10:00 am - 10:00 pmSamedi:10:00 am - 10:00 pmDimanche:close,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212447/Elyssa_Cosmetiques
"Jasmin Hair and Nails - Salé, Maroc","Jasmin Hair and Nails - Salé, Maroc - Téléphone et",664555346,Lundi:FerméMardi:11:00 am - 20:00 pmMercredi:11:00 am - 20:00 pmJeudi:11:00 am - 20:00 pmVendredi:11:00 am - 20:00 pmSamedi:11:00 am - 20:00 pmDimanche:11:00 am - 20:00 pm,,https://www.yelo.ma/company/211892/Jasmin_Hair_and_Nails
"Les Riads du Palais - Rabat, Maroc","Les Riads du Palais - Rabat, Maroc - Téléphone et",0524 438 419,,,https://www.yelo.ma/company/84916/Les_Riads_du_Palais
"Aya Style - Témara, Maroc","Aya Style - Témara, Maroc - Téléphone et",0613 577 158,,,https://www.yelo.ma/company/96152/Aya_Style
"Salon Zen - Rabat, Maroc","Salon Zen - Rabat, Maroc - Téléphone et",0537 682 202,,,https://www.yelo.ma/company/95754/Salon_Zen
"Salon Rotana - Rabat, Maroc","Salon Rotana - Rabat, Maroc - Téléphone et",0553 085 236,,,https://www.yelo.ma/company/95638/Salon_Rotana
"CEZAR - Azrou, Maroc","CEZAR - Azrou, Maroc - Téléphone et",2.12202E+11,Lundi:9.02Mardi:10.20Mercredi:11.30Jeudi:15.60Vendredi:06.90Samedi:12.30Dimanche:14.50,,https://www.yelo.ma/company/211524/CEZAR
Perfect Beauty House Casablanca - Maroc,Perfect Beauty House Casablanca - Maroc - Téléphone et,0612-820869,Lundi:10:00 am - 9:00 pmMardi:10:00 am - 9:00 pmMercredi:10:00 am - 9:00 pmJeudi:10:00 am - 9:00 pmVendredi:10:00 am - 9:00 pmSamedi:10:00 am - 9:00 pmDimanche:10:00 am - 9:00 pm,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212342/Perfect_Beauty_House_Casablanca
Lamapro (Laboratoire morocain de prothese oculaire) - Maroc,,0522 483 020,,,https://www.yelo.ma/company/96155/Lamapro_Laboratoire_morocain_de_prothese_oculaire
"Creation Lahlou Jamal - Rabat, Maroc","Creation Lahlou Jamal - Rabat, Maroc - Téléphone et",0537 680 022,,,https://www.yelo.ma/company/95759/Creation_Lahlou_Jamal
PREVIA MAROC - Casablanca,PREVIA MAROC - Casablanca - Téléphone et,522993184,,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/17318/PREVIA_MAROC
Salon Ben Abdellah - Maroc,Salon Ben Abdellah - Maroc - Téléphone et,0661 681 574,,,https://www.yelo.ma/company/95644/Salon_Ben_Abdellah
"Centre de Beaute Guapa's - Rabat, Maroc","Centre de Beaute Guapa's - Rabat, Maroc - Téléphone et",0537 565 288,,,https://www.yelo.ma/company/96148/Centre_de_Beaute_Guapas
"Meches Rebelles - Casablanca, Maroc","Meches Rebelles - Casablanca, Maroc - Téléphone et",0522 218 433,,,https://www.yelo.ma/company/96150/Meches_Rebelles
"Riviera Spa - Marrakech, Maroc","Riviera Spa - Marrakech, Maroc - Téléphone et",0524 422 077,,,https://www.yelo.ma/company/95772/Riviera_Spa
"CHERRAT GROUP - Casablanca, Maroc","CHERRAT GROUP - Casablanca, Maroc - Téléphone et",522207078,Lundi:9h15 à 17h45Mardi:9h15 à 17h45Mercredi:9h15 à 17h45Jeudi:9h15 à 17h45Vendredi:9h15 à 17h45Samedi:9h30 à 13h30Dimanche:Closed,,https://www.yelo.ma/company/17325/CHERRAT_GROUP
"Salon Etoile Salma - Rabat, Maroc","Salon Etoile Salma - Rabat, Maroc - Téléphone et",0537 776 938,,,https://www.yelo.ma/company/95413/Salon_Etoile_Salma
"Salon Salma - Rabat, Maroc","Salon Salma - Rabat, Maroc - Téléphone et",0537 776 878,,,https://www.yelo.ma/company/95719/Salon_Salma
"Divinora - Rabat, Maroc","Divinora - Rabat, Maroc - Téléphone et",0533 740 111,,,https://www.yelo.ma/company/95637/Divinora
"Marionnaud Parfumeries - Casablanca, Maroc","Marionnaud Parfumeries - Casablanca, Maroc - Téléphone et",0522 364 500,,,https://www.yelo.ma/company/95643/Marionnaud_Parfumeries
"Elyssa Cosmetiques - Marrakech, Maroc","Elyssa Cosmetiques - Marrakech, Maroc - Téléphone et",766988333,Lundi:10:00 am - 10:00 pmMardi:10:00 am - 10:00 pmMercredi:10:00 am - 10:00 pmJeudi:10:00 am - 10:00 pmVendredi:10:00 am - 10:00 pmSamedi:10:00 am - 10:00 pmDimanche:close,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212447/Elyssa_Cosmetiques
"Jasmin Hair and Nails - Salé, Maroc","Jasmin Hair and Nails - Salé, Maroc - Téléphone et",664555346,Lundi:FerméMardi:11:00 am - 20:00 pmMercredi:11:00 am - 20:00 pmJeudi:11:00 am - 20:00 pmVendredi:11:00 am - 20:00 pmSamedi:11:00 am - 20:00 pmDimanche:11:00 am - 20:00 pm,,https://www.yelo.ma/company/211892/Jasmin_Hair_and_Nails
"Les Riads du Palais - Rabat, Maroc","Les Riads du Palais - Rabat, Maroc - Téléphone et",0524 438 419,,,https://www.yelo.ma/company/84916/Les_Riads_du_Palais
"Aya Style - Témara, Maroc","Aya Style - Témara, Maroc - Téléphone et",0613 577 158,,,https://www.yelo.ma/company/96152/Aya_Style
"Salon Zen - Rabat, Maroc","Salon Zen - Rabat, Maroc - Téléphone et",0537 682 202,,,https://www.yelo.ma/company/95754/Salon_Zen
"Salon Rotana - Rabat, Maroc","Salon Rotana - Rabat, Maroc - Téléphone et",0553 085 236,,,https://www.yelo.ma/company/95638/Salon_Rotana
"CEZAR - Azrou, Maroc","CEZAR - Azrou, Maroc - Téléphone et",2.12202E+11,Lundi:9.02Mardi:10.20Mercredi:11.30Jeudi:15.60Vendredi:06.90Samedi:12.30Dimanche:14.50,,https://www.yelo.ma/company/211524/CEZAR
Perfect Beauty House Casablanca - Maroc,Perfect Beauty House Casablanca - Maroc - Téléphone et,0612-820869,Lundi:10:00 am - 9:00 pmMardi:10:00 am - 9:00 pmMercredi:10:00 am - 9:00 pmJeudi:10:00 am - 9:00 pmVendredi:10:00 am - 9:00 pmSamedi:10:00 am - 9:00 pmDimanche:10:00 am - 9:00 pm,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212342/Perfect_Beauty_House_Casablanca
Lamapro (Laboratoire morocain de prothese oculaire) - Maroc,,0522 483 020,,,https://www.yelo.ma/company/96155/Lamapro_Laboratoire_morocain_de_prothese_oculaire
"Creation Lahlou Jamal - Rabat, Maroc","Creation Lahlou Jamal - Rabat, Maroc - Téléphone et",0537 680 022,,,https://www.yelo.ma/company/95759/Creation_Lahlou_Jamal
PREVIA MAROC - Casablanca,PREVIA MAROC - Casablanca - Téléphone et,522993184,,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/17318/PREVIA_MAROC
Salon Ben Abdellah - Maroc,Salon Ben Abdellah - Maroc - Téléphone et,0661 681 574,,,https://www.yelo.ma/company/95644/Salon_Ben_Abdellah
"Centre de Beaute Guapa's - Rabat, Maroc","Centre de Beaute Guapa's - Rabat, Maroc - Téléphone et",0537 565 288,,,https://www.yelo.ma/company/96148/Centre_de_Beaute_Guapas
"Meches Rebelles - Casablanca, Maroc","Meches Rebelles - Casablanca, Maroc - Téléphone et",0522 218 433,,,https://www.yelo.ma/company/96150/Meches_Rebelles
"Riviera Spa - Marrakech, Maroc","Riviera Spa - Marrakech, Maroc - Téléphone et",0524 422 077,,,https://www.yelo.ma/company/95772/Riviera_Spa
"CHERRAT GROUP - Casablanca, Maroc","CHERRAT GROUP - Casablanca, Maroc - Téléphone et",522207078,Lundi:9h15 à 17h45Mardi:9h15 à 17h45Mercredi:9h15 à 17h45Jeudi:9h15 à 17h45Vendredi:9h15 à 17h45Samedi:9h30 à 13h30Dimanche:Closed,,https://www.yelo.ma/company/17325/CHERRAT_GROUP
"Salon Etoile Salma - Rabat, Maroc","Salon Etoile Salma - Rabat, Maroc - Téléphone et",0537 776 938,,,https://www.yelo.ma/company/95413/Salon_Etoile_Salma
"Salon Salma - Rabat, Maroc","Salon Salma - Rabat, Maroc - Téléphone et",0537 776 878,,,https://www.yelo.ma/company/95719/Salon_Salma
"Divinora - Rabat, Maroc","Divinora - Rabat, Maroc - Téléphone et",0533 740 111,,,https://www.yelo.ma/company/95637/Divinora
"Marionnaud Parfumeries - Casablanca, Maroc","Marionnaud Parfumeries - Casablanca, Maroc - Téléphone et",0522 364 500,,,https://www.yelo.ma/company/95643/Marionnaud_Parfumeries
"Elyssa Cosmetiques - Marrakech, Maroc","Elyssa Cosmetiques - Marrakech, Maroc - Téléphone et",766988333,Lundi:10:00 am - 10:00 pmMardi:10:00 am - 10:00 pmMercredi:10:00 am - 10:00 pmJeudi:10:00 am - 10:00 pmVendredi:10:00 am - 10:00 pmSamedi:10:00 am - 10:00 pmDimanche:close,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212447/Elyssa_Cosmetiques
"Jasmin Hair and Nails - Salé, Maroc","Jasmin Hair and Nails - Salé, Maroc - Téléphone et",664555346,Lundi:FerméMardi:11:00 am - 20:00 pmMercredi:11:00 am - 20:00 pmJeudi:11:00 am - 20:00 pmVendredi:11:00 am - 20:00 pmSamedi:11:00 am - 20:00 pmDimanche:11:00 am - 20:00 pm,,https://www.yelo.ma/company/211892/Jasmin_Hair_and_Nails
"Les Riads du Palais - Rabat, Maroc","Les Riads du Palais - Rabat, Maroc - Téléphone et",0524 438 419,,,https://www.yelo.ma/company/84916/Les_Riads_du_Palais
"Aya Style - Témara, Maroc","Aya Style - Témara, Maroc - Téléphone et",0613 577 158,,,https://www.yelo.ma/company/96152/Aya_Style
"Salon Zen - Rabat, Maroc","Salon Zen - Rabat, Maroc - Téléphone et",0537 682 202,,,https://www.yelo.ma/company/95754/Salon_Zen
"Salon Rotana - Rabat, Maroc","Salon Rotana - Rabat, Maroc - Téléphone et",0553 085 236,,,https://www.yelo.ma/company/95638/Salon_Rotana
"CEZAR - Azrou, Maroc","CEZAR - Azrou, Maroc - Téléphone et",2.12202E+11,Lundi:9.02Mardi:10.20Mercredi:11.30Jeudi:15.60Vendredi:06.90Samedi:12.30Dimanche:14.50,,https://www.yelo.ma/company/211524/CEZAR
Perfect Beauty House Casablanca - Maroc,Perfect Beauty House Casablanca - Maroc - Téléphone et,0612-820869,Lundi:10:00 am - 9:00 pmMardi:10:00 am - 9:00 pmMercredi:10:00 am - 9:00 pmJeudi:10:00 am - 9:00 pmVendredi:10:00 am - 9:00 pmSamedi:10:00 am - 9:00 pmDimanche:10:00 am - 9:00 pm,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/212342/Perfect_Beauty_House_Casablanca
Lamapro (Laboratoire morocain de prothese oculaire) - Maroc,,0522 483 020,,,https://www.yelo.ma/company/96155/Lamapro_Laboratoire_morocain_de_prothese_oculaire
"Creation Lahlou Jamal - Rabat, Maroc","Creation Lahlou Jamal - Rabat, Maroc - Téléphone et",0537 680 022,,,https://www.yelo.ma/company/95759/Creation_Lahlou_Jamal
PREVIA MAROC - Casablanca,PREVIA MAROC - Casablanca - Téléphone et,522993184,,"data:image/gif;base64,R0lGODlhAQABAIABAP///wAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.yelo.ma/company/17318/PREVIA_MAROC
Salon Ben Abdellah - Maroc,Salon Ben Abdellah - Maroc - Téléphone et,0661 681 574,,,https://www.yelo.ma/company/95644/Salon_Ben_Abdellah
"Centre de Beaute Guapa's - Rabat, Maroc","Centre de Beaute Guapa's - Rabat, Maroc - Téléphone et",0537 565 288,,,https://www.yelo.ma/company/96148/Centre_de_Beaute_Guapas
"Meches Rebelles - Casablanca, Maroc","Meches Rebelles - Casablanca, Maroc - Téléphone et",0522 218 433,,,https://www.yelo.ma/company/96150/Meches_Rebelles
"Riviera Spa - Marrakech, Maroc","Riviera Spa - Marrakech, Maroc - Téléphone et",0524 422 077,,,https://www.yelo.ma/company/95772/Riviera_Spa
"CHERRAT GROUP - Casablanca, Maroc","CHERRAT GROUP - Casablanca, Maroc - Téléphone et",522207078,Lundi:9h15 à 17h45Mardi:9h15 à 17h45Mercredi:9h15 à 17h45Jeudi:9h15 à 17h45Vendredi:9h15 à 17h45Samedi:9h30 à 13h30Dimanche:Closed,,https://www.yelo.ma/company/17325/CHERRAT_GROUP
"Salon Etoile Salma - Rabat, Maroc","Salon Etoile Salma - Rabat, Maroc - Téléphone et",0537 776 938,,,https://www.yelo.ma/company/95413/Salon_Etoile_Salma
"Salon Salma - Rabat, Maroc","Salon Salma - Rabat, Maroc - Téléphone et",0537 776 878,,,https://www.yelo.ma/company/95719/Salon_Salma
"Divinora - Rabat, Maroc","Divinora - Rabat, Maroc - Téléphone et",0533 740 111,,,https://www.yelo.ma/company/95637/Divinora
"Marionnaud Parfumeries - Casablanca, Maroc","Marionnaud Parfumeries - Casablanca, Maroc - Téléphone et",0522 364 500,,,https://www.yelo.ma/company/95643/Marionnaud_Parfumeries
